shipment_id,order_id,shipment_date,delivery_date,days_between_shipement_delivery,carrier,tracking_number,shipment_status,updated_at
9632,9632,2024-03-29,2024-04-04,6,DHL,TRK438127,Delivered,
9755,9755,2024-03-03,2024-03-09,6,DHL,TRK589227,Delivered,
9770,9770,2024-02-04,2024-02-10,6,DHL,TRK358437,Delivered,
9785,9785,2024-02-11,2024-02-17,6,DHL,TRK707785,Delivered,
9806,9806,2024-04-03,2024-04-09,6,DHL,TRK210604,Delivered,
9815,9815,2024-05-04,2024-05-10,6,DHL,TRK908744,Delivered,
9854,9854,2024-11-07,2024-11-13,6,DHL,TRK754001,Delivered,
9950,9950,2024-09-20,2024-09-26,6,DHL,TRK805801,Delivered,
9953,9953,2024-02-21,2024-02-27,6,DHL,TRK104490,Delivered,
10073,10073,2024-07-23,2024-07-29,6,DHL,TRK907309,Delivered,
10109,10109,2024-08-31,2024-09-06,6,DHL,TRK106162,Delivered,
10160,10160,2024-02-12,2024-02-18,6,DHL,TRK334402,Delivered,
10166,10166,2024-08-08,2024-08-14,6,DHL,TRK880296,Delivered,
10316,10316,2024-06-28,2024-07-04,6,DHL,TRK406766,Delivered,
10379,10379,2023-11-11,2023-11-17,6,DHL,TRK666101,Delivered,
10397,10397,2023-11-18,2023-11-24,6,DHL,TRK971002,Delivered,
10406,10406,2024-09-17,2024-09-23,6,DHL,TRK345800,Delivered,
10481,10481,2024-04-20,2024-04-26,6,DHL,TRK770191,Delivered,
10610,10610,2024-11-02,2024-11-08,6,DHL,TRK383865,Delivered,
10682,10682,2024-07-12,2024-07-18,6,DHL,TRK446000,Delivered,
10694,10694,2024-02-28,2024-03-05,6,DHL,TRK816026,Delivered,
10700,10700,2024-08-19,2024-08-25,6,DHL,TRK813896,Delivered,
10715,10715,2024-08-11,2024-08-17,6,DHL,TRK210501,Delivered,
10781,10781,2024-08-26,2024-09-01,6,DHL,TRK731139,Delivered,
10784,10784,2023-11-17,2023-11-23,6,DHL,TRK482237,Delivered,
10790,10790,2023-12-16,2023-12-22,6,DHL,TRK719555,Delivered,
10826,10826,2024-01-19,2024-01-25,6,DHL,TRK790541,Delivered,
10943,10943,2024-01-10,2024-01-16,6,DHL,TRK680404,Delivered,
11012,11012,2024-03-05,2024-03-11,6,DHL,TRK831971,Delivered,
11222,11222,2024-01-26,2024-02-01,6,DHL,TRK478958,Delivered,
11234,11234,2024-03-12,2024-03-18,6,DHL,TRK318730,Delivered,
11258,11258,2024-09-18,2024-09-24,6,DHL,TRK225525,Delivered,
11282,11282,2024-09-21,2024-09-27,6,DHL,TRK873247,Delivered,
11348,11348,2024-06-25,2024-07-01,6,DHL,TRK863117,Delivered,
11390,11390,2023-11-22,2023-11-28,6,DHL,TRK605738,Delivered,
11405,11405,2024-03-17,2024-03-23,6,DHL,TRK317303,Delivered,
11471,11471,2024-05-16,2024-05-22,6,DHL,TRK851008,Delivered,
11513,11513,2024-09-23,2024-09-29,6,DHL,TRK149603,Delivered,
11522,11522,2024-09-08,2024-09-14,6,DHL,TRK800028,Delivered,
11525,11525,2024-06-12,2024-06-18,6,DHL,TRK537594,Delivered,
11552,11552,2024-08-20,2024-08-26,6,DHL,TRK946698,Delivered,
11621,11621,2024-05-27,2024-06-02,6,DHL,TRK771787,Delivered,
11648,11648,2023-11-08,2023-11-14,6,DHL,TRK444043,Delivered,
11684,11684,2024-02-15,2024-02-21,6,DHL,TRK967375,Delivered,
11702,11702,2023-12-19,2023-12-25,6,DHL,TRK684032,Delivered,
11756,11756,2024-10-15,2024-10-21,6,DHL,TRK783804,Delivered,
11954,11954,2024-03-01,2024-03-07,6,DHL,TRK553449,Delivered,
11960,11960,2024-10-23,2024-10-29,6,DHL,TRK487720,Delivered,
12083,12083,2024-01-27,2024-02-02,6,DHL,TRK634903,Delivered,
12227,12227,2023-12-05,2023-12-11,6,DHL,TRK298066,Delivered,
12281,12281,2024-01-27,2024-02-02,6,DHL,TRK711785,Delivered,
12299,12299,2024-01-29,2024-02-04,6,DHL,TRK825695,Delivered,
12305,12305,2024-07-30,2024-08-05,6,DHL,TRK880394,Delivered,
12344,12344,2024-06-03,2024-06-09,6,DHL,TRK219921,Delivered,
12419,12419,2024-03-31,2024-04-06,6,DHL,TRK400359,Delivered,
12485,12485,2024-09-02,2024-09-08,6,DHL,TRK971847,Delivered,
12527,12527,2024-10-22,2024-10-28,6,DHL,TRK741577,Delivered,
12599,12599,2024-04-02,2024-04-08,6,DHL,TRK184745,Delivered,
12608,12608,2023-12-23,2023-12-29,6,DHL,TRK800666,Delivered,
12629,12629,2024-06-09,2024-06-15,6,DHL,TRK144584,Delivered,
12638,12638,2024-09-11,2024-09-17,6,DHL,TRK214263,Delivered,
12794,12794,2024-04-13,2024-04-19,6,DHL,TRK650770,Delivered,
12860,12860,2023-12-16,2023-12-22,6,DHL,TRK008651,Delivered,
13037,13037,2024-04-03,2024-04-09,6,DHL,TRK360556,Delivered,
13070,13070,2024-01-08,2024-01-14,6,DHL,TRK306699,Delivered,
13082,13082,2024-02-04,2024-02-10,6,DHL,TRK101298,Delivered,
13115,13115,2024-06-12,2024-06-18,6,DHL,TRK129911,Delivered,
13160,13160,2024-10-28,2024-11-03,6,DHL,TRK549809,Delivered,
13358,13358,2024-07-15,2024-07-21,6,DHL,TRK963641,Delivered,
13367,13367,2024-03-20,2024-03-26,6,DHL,TRK821836,Delivered,
13379,13379,2024-07-24,2024-07-30,6,DHL,TRK740781,Delivered,
13403,13403,2024-05-17,2024-05-23,6,DHL,TRK114571,Delivered,
13418,13418,2024-02-02,2024-02-08,6,DHL,TRK854937,Delivered,
13553,13553,2024-03-19,2024-03-25,6,DHL,TRK501776,Delivered,
13574,13574,2023-11-29,2023-12-05,6,DHL,TRK170603,Delivered,
13631,13631,2024-07-05,2024-07-11,6,DHL,TRK305382,Delivered,
13661,13661,2024-07-07,2024-07-13,6,DHL,TRK069641,Delivered,
13670,13670,2024-03-09,2024-03-15,6,DHL,TRK449249,Delivered,
13706,13706,2024-01-26,2024-02-01,6,DHL,TRK937882,Delivered,
13709,13709,2023-11-19,2023-11-25,6,DHL,TRK689044,Delivered,
13733,13733,2024-10-29,2024-11-04,6,DHL,TRK280052,Delivered,
13808,13808,2024-08-20,2024-08-26,6,DHL,TRK383578,Delivered,
13826,13826,2024-11-07,2024-11-13,6,DHL,TRK130715,Delivered,
13850,13850,2024-03-07,2024-03-13,6,DHL,TRK521378,Delivered,
13853,13853,2024-07-17,2024-07-23,6,DHL,TRK770897,Delivered,
13901,13901,2024-07-21,2024-07-27,6,DHL,TRK339555,Delivered,
13952,13952,2024-08-23,2024-08-29,6,DHL,TRK752994,Delivered,
13997,13997,2023-11-27,2023-12-03,6,DHL,TRK712265,Delivered,
14030,14030,2024-05-05,2024-05-11,6,DHL,TRK172386,Delivered,
14159,14159,2024-02-04,2024-02-10,6,DHL,TRK324997,Delivered,
14240,14240,2024-01-31,2024-02-06,6,DHL,TRK044454,Delivered,
14333,14333,2024-08-24,2024-08-30,6,DHL,TRK253731,Delivered,
14366,14366,2024-03-24,2024-03-30,6,DHL,TRK212143,Delivered,
14390,14390,2024-04-24,2024-04-30,6,DHL,TRK443676,Delivered,
14468,14468,2024-02-09,2024-02-15,6,DHL,TRK256902,Delivered,
14585,14585,2023-11-29,2023-12-05,6,DHL,TRK510111,Delivered,
14639,14639,2024-03-30,2024-04-05,6,DHL,TRK418643,Delivered,
14642,14642,2024-10-01,2024-10-07,6,DHL,TRK520281,Delivered,
14774,14774,2023-11-20,2023-11-26,6,DHL,TRK004161,Delivered,
14966,14966,2024-02-04,2024-02-10,6,DHL,TRK036205,Delivered,
5,5,2024-11-03,2024-11-08,5,DHL,TRK681341,Delivered,
38,38,2024-05-03,2024-05-08,5,DHL,TRK591965,Delivered,
65,65,2024-08-05,2024-08-10,5,DHL,TRK478481,Delivered,
74,74,2024-06-26,2024-07-01,5,DHL,TRK785450,Delivered,
257,257,2024-05-26,2024-05-31,5,DHL,TRK893758,Delivered,
275,275,2024-01-19,2024-01-24,5,DHL,TRK454702,Delivered,
290,290,2024-05-09,2024-05-14,5,DHL,TRK284736,Delivered,
344,344,2024-05-31,2024-06-05,5,DHL,TRK513880,Delivered,
386,386,2024-01-30,2024-02-04,5,DHL,TRK403171,Delivered,
395,395,2024-10-07,2024-10-12,5,DHL,TRK910872,Delivered,
434,434,2024-04-11,2024-04-16,5,DHL,TRK556815,Delivered,
494,494,2024-03-21,2024-03-26,5,DHL,TRK848018,Delivered,
536,536,2024-10-28,2024-11-02,5,DHL,TRK749840,Delivered,
569,569,2024-08-15,2024-08-20,5,DHL,TRK188830,Delivered,
590,590,2024-03-17,2024-03-22,5,DHL,TRK310477,Delivered,
650,650,2024-05-05,2024-05-10,5,DHL,TRK640375,Delivered,
653,653,2024-02-28,2024-03-04,5,DHL,TRK134370,Delivered,
692,692,2024-06-13,2024-06-18,5,DHL,TRK615991,Delivered,
830,830,2024-08-18,2024-08-23,5,DHL,TRK048095,Delivered,
848,848,2024-09-01,2024-09-06,5,DHL,TRK609465,Delivered,
911,911,2024-04-27,2024-05-02,5,DHL,TRK780440,Delivered,
932,932,2024-01-02,2024-01-07,5,DHL,TRK102783,Delivered,
968,968,2024-06-14,2024-06-19,5,DHL,TRK018770,Delivered,
974,974,2024-01-18,2024-01-23,5,DHL,TRK008276,Delivered,
1034,1034,2024-02-11,2024-02-16,5,DHL,TRK568785,Delivered,
1046,1046,2024-04-13,2024-04-18,5,DHL,TRK293698,Delivered,
1076,1076,2024-09-22,2024-09-27,5,DHL,TRK895430,Delivered,
1214,1214,2024-05-30,2024-06-04,5,DHL,TRK283539,Delivered,
1334,1334,2024-05-22,2024-05-27,5,DHL,TRK283584,Delivered,
1532,1532,2024-05-18,2024-05-23,5,DHL,TRK141142,Delivered,
1601,1601,2024-07-12,2024-07-17,5,DHL,TRK801264,Delivered,
1619,1619,2024-01-11,2024-01-16,5,DHL,TRK576261,Delivered,
1772,1772,2024-05-19,2024-05-24,5,DHL,TRK567863,Delivered,
1787,1787,2024-04-16,2024-04-21,5,DHL,TRK705567,Delivered,
1826,1826,2024-05-06,2024-05-11,5,DHL,TRK569650,Delivered,
1850,1850,2024-11-02,2024-11-07,5,DHL,TRK724532,Delivered,
1973,1973,2024-09-13,2024-09-18,5,DHL,TRK540157,Delivered,
2009,2009,2024-04-24,2024-04-29,5,DHL,TRK689059,Delivered,
2048,2048,2024-06-21,2024-06-26,5,DHL,TRK607146,Delivered,
2057,2057,2023-11-13,2023-11-18,5,DHL,TRK620477,Delivered,
2243,2243,2024-10-26,2024-10-31,5,DHL,TRK934841,Delivered,
2252,2252,2024-03-25,2024-03-30,5,DHL,TRK992210,Delivered,
2300,2300,2023-11-10,2023-11-15,5,DHL,TRK471836,Delivered,
2393,2393,2024-09-06,2024-09-11,5,DHL,TRK553554,Delivered,
2516,2516,2024-09-19,2024-09-24,5,DHL,TRK345487,Delivered,
2519,2519,2024-01-28,2024-02-02,5,DHL,TRK371626,Delivered,
2663,2663,2023-12-07,2023-12-12,5,DHL,TRK609969,Delivered,
2675,2675,2023-12-12,2023-12-17,5,DHL,TRK910985,Delivered,
2687,2687,2024-08-14,2024-08-19,5,DHL,TRK539439,Delivered,
2708,2708,2024-07-18,2024-07-23,5,DHL,TRK660260,Delivered,
2810,2810,2024-08-16,2024-08-21,5,DHL,TRK389928,Delivered,
2894,2894,2024-09-27,2024-10-02,5,DHL,TRK103570,Delivered,
2990,2990,2024-01-20,2024-01-25,5,DHL,TRK143332,Delivered,
3035,3035,2024-06-27,2024-07-02,5,DHL,TRK165590,Delivered,
3041,3041,2024-10-23,2024-10-28,5,DHL,TRK495229,Delivered,
3050,3050,2024-10-18,2024-10-23,5,DHL,TRK006188,Delivered,
3077,3077,2024-11-05,2024-11-10,5,DHL,TRK482779,Delivered,
3206,3206,2024-08-29,2024-09-03,5,DHL,TRK772558,Delivered,
3668,3668,2024-01-26,2024-01-31,5,DHL,TRK390763,Delivered,
3689,3689,2024-07-21,2024-07-26,5,DHL,TRK001710,Delivered,
3737,3737,2024-04-18,2024-04-23,5,DHL,TRK485999,Delivered,
3869,3869,2024-09-28,2024-10-03,5,DHL,TRK509287,Delivered,
3899,3899,2024-02-04,2024-02-09,5,DHL,TRK790552,Delivered,
3920,3920,2024-04-13,2024-04-18,5,DHL,TRK554646,Delivered,
4004,4004,2024-04-26,2024-05-01,5,DHL,TRK585796,Delivered,
4007,4007,2024-09-25,2024-09-30,5,DHL,TRK115946,Delivered,
4106,4106,2024-10-04,2024-10-09,5,DHL,TRK913148,Delivered,
4142,4142,2023-12-17,2023-12-22,5,DHL,TRK642075,Delivered,
4175,4175,2024-01-04,2024-01-09,5,DHL,TRK281153,Delivered,
4181,4181,2024-02-18,2024-02-23,5,DHL,TRK406536,Delivered,
4217,4217,2024-09-03,2024-09-08,5,DHL,TRK751465,Delivered,
4253,4253,2023-12-30,2024-01-04,5,DHL,TRK308329,Delivered,
4298,4298,2024-03-24,2024-03-29,5,DHL,TRK500333,Delivered,
4331,4331,2024-10-13,2024-10-18,5,DHL,TRK296906,Delivered,
4406,4406,2024-05-16,2024-05-21,5,DHL,TRK718035,Delivered,
4460,4460,2024-07-28,2024-08-02,5,DHL,TRK874811,Delivered,
4511,4511,2024-11-07,2024-11-12,5,DHL,TRK944772,Delivered,
4526,4526,2024-04-10,2024-04-15,5,DHL,TRK929677,Delivered,
4601,4601,2024-09-17,2024-09-22,5,DHL,TRK065556,Delivered,
4607,4607,2023-12-10,2023-12-15,5,DHL,TRK676551,Delivered,
4610,4610,2024-08-17,2024-08-22,5,DHL,TRK557940,Delivered,
4634,4634,2024-03-25,2024-03-30,5,DHL,TRK434408,Delivered,
4670,4670,2024-03-22,2024-03-27,5,DHL,TRK758132,Delivered,
4709,4709,2024-07-02,2024-07-07,5,DHL,TRK906613,Delivered,
4748,4748,2024-07-10,2024-07-15,5,DHL,TRK666524,Delivered,
4766,4766,2024-10-16,2024-10-21,5,DHL,TRK629786,Delivered,
